tx_id	ensgene	symbol
YGL090W	YGL090W	LIF1
YGL089C	YGL089C	MF(ALPHA)2
YGL088W	YGL088W	YGL088W
snR10	snR10	snR10
YGL087C	YGL087C	MMS2
YGL086W	YGL086W	MAD1
YGL085W	YGL085W	LCL3
YGL084C	YGL084C	GUP1
YGL083W	YGL083W	SCY1
YGL082W	YGL082W	YGL082W
YGL081W	YGL081W	YGL081W
YGL080W	YGL080W	MPC1
YGL079W	YGL079W	KXD1
YGL078C	YGL078C	DBP3
YGL077C	YGL077C	HNM1
YGL076C	YGL076C	RPL7A
snR39	snR39	snR39
snR39B	snR39B	snR39B
YGL075C	YGL075C	MPS2
YGL074C	YGL074C	YGL074C
YGL073W	YGL073W	HSF1
YGL072C	YGL072C	YGL072C
YGL071W	YGL071W	AFT1
YGL070C	YGL070C	RPB9
YGL069C	YGL069C	YGL069C
YGL068W	YGL068W	MNP1
YGL067W	YGL067W	NPY1
YGL066W	YGL066W	SGF73
YGL065C	YGL065C	ALG2
YGL064C	YGL064C	MRH4
YGL063W	YGL063W	PUS2
YGL063C-A	YGL063C-A	YGL063C-A
YGL062W	YGL062W	PYC1
YGL061C	YGL061C	DUO1
YGL060W	YGL060W	YBP2
YGL059W	YGL059W	PKP2
YGL058W	YGL058W	RAD6
YGL057C	YGL057C	GEP7
YGL056C	YGL056C	SDS23
YGL055W	YGL055W	OLE1
YGL054C	YGL054C	ERV14
tE(UUC)G2	tE(UUC)G2	tE(UUC)G2
YGL053W	YGL053W	PRM8
YGL052W	YGL052W	YGL052W
YGL051W	YGL051W	MST27
tR(UCU)G1	tR(UCU)G1	tR(UCU)G1
YGL050W	YGL050W	TYW3
YGL049C	YGL049C	TIF4632
YGL048C	YGL048C	RPT6
YGL047W	YGL047W	ALG13
tV(AAC)G1	tV(AAC)G1	tV(AAC)G1
YGL045W	YGL045W	RIM8
YGL044C	YGL044C	RNA15
YGL043W	YGL043W	DST1
YGL042C	YGL042C	YGL042C
YGL041C-B	YGL041C-B	YGL041C-B
YGL041W-A	YGL041W-A	YGL041W-A
YGL041C	YGL041C	YGL041C
YGL040C	YGL040C	HEM2
tL(CAA)G2	tL(CAA)G2	SUP54
YGL039W	YGL039W	YGL039W
YGL038C	YGL038C	OCH1
YGL037C	YGL037C	PNC1
YGL036W	YGL036W	YGL036W
YGL035C	YGL035C	MIG1
YGL034C	YGL034C	YGL034C
YGL033W	YGL033W	HOP2
YGL032C	YGL032C	AGA2
YGL031C	YGL031C	RPL24A
YGL030W	YGL030W	RPL30
YGL029W	YGL029W	CGR1
tF(GAA)G	tF(GAA)G	tF(GAA)G
YGL028C	YGL028C	SCW11
YGL027C	YGL027C	CWH41
YGL026C	YGL026C	TRP5
YGL025C	YGL025C	PGD1
YGL024W	YGL024W	YGL024W
YGL023C	YGL023C	PIB2
YGL022W	YGL022W	STT3
YGL021W	YGL021W	ALK1
YGL020C	YGL020C	GET1
YGL019W	YGL019W	CKB1
YGL018C	YGL018C	JAC1
YGL017W	YGL017W	ATE1
YGL016W	YGL016W	KAP122
YGL015C	YGL015C	YGL015C
YGL014W	YGL014W	PUF4
YGL014C-A	YGL014C-A	YGL014C-A
YGL013C	YGL013C	PDR1
YGL012W	YGL012W	ERG4
YGL011C	YGL011C	SCL1
YGL010W	YGL010W	MPO1
YGL009C	YGL009C	LEU1
YGL008C	YGL008C	PMA1
YGL007C-A	YGL007C-A	YGL007C-A
YGL007W	YGL007W	BRP1
YGL006W-A	YGL006W-A	YGL006W-A
YGL006W	YGL006W	PMC1
YGL005C	YGL005C	COG7
YGL004C	YGL004C	RPN14
YGL003C	YGL003C	CDH1
YGL002W	YGL002W	ERP6
YGL001C	YGL001C	ERG26
YGR001C	YGR001C	AML1
YGR002C	YGR002C	SWC4
YGR003W	YGR003W	CUL3
YGR004W	YGR004W	PEX31
YGR005C	YGR005C	TFG2
YGR006W	YGR006W	PRP18
YGR007W	YGR007W	ECT1
YGR008C	YGR008C	STF2
YGR009C	YGR009C	SEC9
YGR010W	YGR010W	NMA2
YGR011W	YGR011W	YGR011W
YGR012W	YGR012W	YGR012W
YGR013W	YGR013W	SNU71
YGR014W	YGR014W	MSB2
YGR015C	YGR015C	YGR015C
YGR016W	YGR016W	YGR016W
YGR017W	YGR017W	YGR017W
YGR018C	YGR018C	YGR018C
YGR019W	YGR019W	UGA1
YGR020C	YGR020C	VMA7
YGR021W	YGR021W	YGR021W
YGR022C	YGR022C	YGR022C
YGR023W	YGR023W	MTL1
tD(GUC)G1	tD(GUC)G1	tD(GUC)G1
YGR024C	YGR024C	THG1
YGR025W	YGR025W	YGR025W
YGR026W	YGR026W	YGR026W
YGR027C	YGR027C	RPS25A
YGR027W-B	YGR027W-B	YGR027W-B
YGR027W-A	YGR027W-A	YGR027W-A
tE(UUC)G3	tE(UUC)G3	tE(UUC)G3
YGR028W	YGR028W	MSP1
YGR029W	YGR029W	ERV1
tD(GUC)G2	tD(GUC)G2	tD(GUC)G2
snR46	snR46	snR46
YGR030C	YGR030C	POP6
YGR031W	YGR031W	IMO32
YGR031C-A	YGR031C-A	NAG1
YGR032W	YGR032W	GSC2
YGR033C	YGR033C	TIM21
YGR034W	YGR034W	RPL26B
YGR035C	YGR035C	YGR035C
YGR035W-A	YGR035W-A	YGR035W-A
YGR036C	YGR036C	CAX4
YGR037C	YGR037C	ACB1
YGR038W	YGR038W	ORM1
tS(AGA)G	tS(AGA)G	tS(AGA)G
YGR038C-B	YGR038C-B	YGR038C-B
YGR038C-A	YGR038C-A	YGR038C-A
YGR039W	YGR039W	YGR039W
YGR040W	YGR040W	KSS1
YGR041W	YGR041W	BUD9
YGR042W	YGR042W	YGR042W
YGR043C	YGR043C	NQM1
YGR044C	YGR044C	RME1
YGR045C	YGR045C	YGR045C
YGR046W	YGR046W	TAM41
YGR047C	YGR047C	TFC4
YGR048W	YGR048W	UFD1
YGR049W	YGR049W	SCM4
YGR050C	YGR050C	YGR050C
YGR051C	YGR051C	YGR051C
YGR052W	YGR052W	FMP48
YGR053C	YGR053C	YGR053C
YGR054W	YGR054W	YGR054W
YGR055W	YGR055W	MUP1
YGR056W	YGR056W	RSC1
YGR057C	YGR057C	LST7
YGR058W	YGR058W	PEF1
YGR059W	YGR059W	SPR3
snR48	snR48	snR48
YGR060W	YGR060W	ERG25
YGR061C	YGR061C	ADE6
YGR062C	YGR062C	COX18
YGR063C	YGR063C	SPT4
YGR064W	YGR064W	YGR064W
YGR065C	YGR065C	VHT1
YGR066C	YGR066C	YGR066C
YGR067C	YGR067C	YGR067C
YGR068C	YGR068C	ART5
YGR068W-A	YGR068W-A	YGR068W-A
YGR069W	YGR069W	YGR069W
YGR070W	YGR070W	ROM1
YGR071C	YGR071C	ENV11
YGR072W	YGR072W	UPF3
YGR073C	YGR073C	YGR073C
YGR074W	YGR074W	SMD1
YGR075C	YGR075C	PRP38
YGR076C	YGR076C	MRPL25
YGR077C	YGR077C	PEX8
YGR078C	YGR078C	PAC10
YGR079W	YGR079W	YGR079W
YGR080W	YGR080W	TWF1
YGR081C	YGR081C	SLX9
YGR082W	YGR082W	TOM20
YGR083C	YGR083C	GCD2
YGR084C	YGR084C	MRP13
YGR085C	YGR085C	RPL11B
YGR086C	YGR086C	PIL1
YGR087C	YGR087C	PDC6
YGR088W	YGR088W	CTT1
YGR089W	YGR089W	NNF2
tT(UGU)G1	tT(UGU)G1	tT(UGU)G1
YGR090W	YGR090W	UTP22
YGR091W	YGR091W	PRP31
YGR092W	YGR092W	DBF2
YGR093W	YGR093W	DRN1
YGR094W	YGR094W	VAS1
YGR095C	YGR095C	RRP46
YGR096W	YGR096W	TPC1
YGR097W	YGR097W	ASK10
YGR098C	YGR098C	ESP1
YGR099W	YGR099W	TEL2
YGR100W	YGR100W	MDR1
YGR101W	YGR101W	PCP1
YGR102C	YGR102C	GTF1
YGR103W	YGR103W	NOP7
YGR104C	YGR104C	SRB5
YGR105W	YGR105W	VMA21
YGR106C	YGR106C	VOA1
tL(GAG)G	tL(GAG)G	tL(GAG)G
tK(UUU)G2	tK(UUU)G2	tK(UUU)G2
YGR107W	YGR107W	YGR107W
YGR108W	YGR108W	CLB1
YGR109C	YGR109C	CLB6
tC(GCA)G	tC(GCA)G	tC(GCA)G
YGR109W-B	YGR109W-B	YGR109W-B
YGR109W-A	YGR109W-A	YGR109W-A
YGR110W	YGR110W	CLD1
YGR111W	YGR111W	YGR111W
YGR112W	YGR112W	SHY1
YGR113W	YGR113W	DAM1
YGR114C	YGR114C	YGR114C
YGR115C	YGR115C	YGR115C
YGR116W	YGR116W	SPT6
YGR117C	YGR117C	YGR117C
YGR118W	YGR118W	RPS23A
YGR119C	YGR119C	NUP57
YGR120C	YGR120C	COG2
tN(GUU)G	tN(GUU)G	tN(GUU)G
YGR121C	YGR121C	MEP1
YGR121W-A	YGR121W-A	YGR121W-A
YGR122W	YGR122W	YGR122W
YGR122C-A	YGR122C-A	YGR122C-A
tR(UCU)G3	tR(UCU)G3	tR(UCU)G3
YGR123C	YGR123C	PPT1
tI(AAU)G	tI(AAU)G	tI(AAU)G
YGR124W	YGR124W	ASN2
YGR125W	YGR125W	YGR125W
YGR126W	YGR126W	YGR126W
YGR127W	YGR127W	YGR127W
YGR128C	YGR128C	UTP8
YGR129W	YGR129W	SYF2
YGR130C	YGR130C	YGR130C
YGR131W	YGR131W	FHN1
YGR132C	YGR132C	PHB1
YGR133W	YGR133W	PEX4
YGR134W	YGR134W	CAF130
YGR135W	YGR135W	PRE9
YGR136W	YGR136W	LSB1
YGR137W	YGR137W	YGR137W
YGR138C	YGR138C	TPO2
YGR139W	YGR139W	YGR139W
YGR140W	YGR140W	CBF2
YGR141W	YGR141W	VPS62
YGR142W	YGR142W	BTN2
tA(AGC)G	tA(AGC)G	tA(AGC)G
YGR143W	YGR143W	SKN1
tG(UCC)G	tG(UCC)G	SUF4
YGR144W	YGR144W	THI4
YGR145W	YGR145W	ENP2
YGR146C	YGR146C	ECL1
YGR146C-A	YGR146C-A	YGR146C-A
YGR147C	YGR147C	NAT2
YGR148C	YGR148C	RPL24B
YGR149W	YGR149W	YGR149W
YGR150C	YGR150C	CCM1
tA(UGC)G	tA(UGC)G	tA(UGC)G
YGR151C	YGR151C	YGR151C
YGR152C	YGR152C	RSR1
YGR153W	YGR153W	YGR153W
YGR154C	YGR154C	GTO1
YGR155W	YGR155W	CYS4
YGR156W	YGR156W	PTI1
YGR157W	YGR157W	CHO2
YGR158C	YGR158C	MTR3
YGR159C	YGR159C	NSR1
YGR160W	YGR160W	YGR160W
YGR161C	YGR161C	RTS3
YGR161W-C	YGR161W-C	YGR161W-C
YGR161W-B	YGR161W-B	YGR161W-B
YGR161W-A	YGR161W-A	YGR161W-A
YGR161C-D	YGR161C-D	YGR161C-D
YGR161C-C	YGR161C-C	YGR161C-C
tV(AAC)G2	tV(AAC)G2	tV(AAC)G2
YGR162W	YGR162W	TIF4631
YGR163W	YGR163W	GTR2
YGR164W	YGR164W	YGR164W
tR(UCU)G2	tR(UCU)G2	tR(UCU)G2
YGR165W	YGR165W	MRPS35
YGR166W	YGR166W	TRS65
YGR167W	YGR167W	CLC1
YGR168C	YGR168C	YGR168C
YGR169C	YGR169C	PUS6
YGR169C-A	YGR169C-A	LSO2
YGR170W	YGR170W	PSD2
YGR171C	YGR171C	MSM1
YGR172C	YGR172C	YIP1
YGR173W	YGR173W	RBG2
tG(GCC)G1	tG(GCC)G1	tG(GCC)G1
YGR174C	YGR174C	CBP4
YGR174W-A	YGR174W-A	YGR174W-A
YGR175C	YGR175C	ERG1
YGR176W	YGR176W	YGR176W
YGR177C	YGR177C	ATF2
YGR178C	YGR178C	PBP1
YGR179C	YGR179C	OKP1
YGR180C	YGR180C	RNR4
tL(CAA)G3	tL(CAA)G3	tL(CAA)G3
YGR181W	YGR181W	TIM13
YGR182C	YGR182C	YGR182C
YGR183C	YGR183C	QCR9
YGR184C	YGR184C	UBR1
YGR185C	YGR185C	TYS1
YGR186W	YGR186W	TFG1
YGR187C	YGR187C	HGH1
YGR188C	YGR188C	BUB1
tK(CUU)G3	tK(CUU)G3	tK(CUU)G3
YGR189C	YGR189C	CRH1
tW(CCA)G2	tW(CCA)G2	tW(CCA)G2
YGR190C	YGR190C	YGR190C
YGR191W	YGR191W	HIP1
YGR192C	YGR192C	TDH3
YGR193C	YGR193C	PDX1
YGR194C	YGR194C	XKS1
YGR195W	YGR195W	SKI6
YGR196C	YGR196C	FYV8
YGR197C	YGR197C	SNG1
YGR198W	YGR198W	YPP1
YGR199W	YGR199W	PMT6
YGR200C	YGR200C	ELP2
YGR201C	YGR201C	YGR201C
YGR202C	YGR202C	PCT1
YGR203W	YGR203W	YCH1
YGR204W	YGR204W	ADE3
YGR204C-A	YGR204C-A	YGR204C-A
YGR205W	YGR205W	TDA10
YGR206W	YGR206W	MVB12
YGR207C	YGR207C	CIR1
YGR208W	YGR208W	SER2
YGR209C	YGR209C	TRX2
YGR210C	YGR210C	YGR210C
YGR211W	YGR211W	ZPR1
YGR212W	YGR212W	SLI1
YGR213C	YGR213C	RTA1
YGR214W	YGR214W	RPS0A
YGR215W	YGR215W	RSM27
YGR216C	YGR216C	GPI1
YGR217W	YGR217W	CCH1
tG(GCC)G2	tG(GCC)G2	tG(GCC)G2
YGR218W	YGR218W	CRM1
YGR219W	YGR219W	YGR219W
YGR220C	YGR220C	MRPL9
YGR221C	YGR221C	TOS2
snR7-L	snR7-L	snR7-L
snR7-S	snR7-S	snR7-S
YGR222W	YGR222W	PET54
YGR223C	YGR223C	HSV2
YGR224W	YGR224W	AZR1
YGR225W	YGR225W	AMA1
YGR226C	YGR226C	YGR226C
YGR227W	YGR227W	DIE2
YGR228W	YGR228W	YGR228W
YGR229C	YGR229C	SMI1
YGR230W	YGR230W	BNS1
YGR231C	YGR231C	PHB2
YGR232W	YGR232W	NAS6
YGR233C	YGR233C	PHO81
YGR234W	YGR234W	YHB1
YGR235C	YGR235C	MIC26
YGR236C	YGR236C	SPG1
YGR237C	YGR237C	YGR237C
YGR238C	YGR238C	KEL2
YGR239C	YGR239C	PEX21
YGR240C	YGR240C	PFK1
YGR240C-A	YGR240C-A	YGR240C-A
YGR241C	YGR241C	YAP1802
YGR242W	YGR242W	YGR242W
YGR243W	YGR243W	MPC3
YGR244C	YGR244C	LSC2
YGR245C	YGR245C	SDA1
YGR246C	YGR246C	BRF1
YGR247W	YGR247W	CPD1
YGR248W	YGR248W	SOL4
YGR249W	YGR249W	MGA1
YGR250C	YGR250C	YGR250C
YGR251W	YGR251W	NOP19
YGR252W	YGR252W	GCN5
YGR253C	YGR253C	PUP2
YGR254W	YGR254W	ENO1
YGR255C	YGR255C	COQ6
tT(UGU)G2	tT(UGU)G2	tT(UGU)G2
YGR256W	YGR256W	GND2
YGR257C	YGR257C	MTM1
YGR258C	YGR258C	RAD2
YGR259C	YGR259C	YGR259C
YGR260W	YGR260W	TNA1
YGR261C	YGR261C	APL6
YGR262C	YGR262C	BUD32
YGR263C	YGR263C	SAY1
YGR264C	YGR264C	MES1
YGR265W	YGR265W	YGR265W
YGR266W	YGR266W	YGR266W
YGR267C	YGR267C	FOL2
YGR268C	YGR268C	HUA1
YGR269W	YGR269W	YGR269W
YGR270W	YGR270W	YTA7
YGR270C-A	YGR270C-A	YGR270C-A
YGR271W	YGR271W	SLH1
YGR271C-A	YGR271C-A	EFG1
YGR273C	YGR273C	YGR273C
YGR274C	YGR274C	TAF1
YGR275W	YGR275W	RTT102
YGR276C	YGR276C	RNH70
YGR277C	YGR277C	CAB4
YGR278W	YGR278W	CWC22
YGR279C	YGR279C	SCW4
YGR280C	YGR280C	PXR1
YGR281W	YGR281W	YOR1
YGR282C	YGR282C	BGL2
YGR283C	YGR283C	YGR283C
YGR284C	YGR284C	ERV29
YGR285C	YGR285C	ZUO1
YGR286C	YGR286C	BIO2
YGR287C	YGR287C	IMA1
YGR288W	YGR288W	MAL13
YGR289C	YGR289C	MAL11
YGR290W	YGR290W	YGR290W
YGR291C	YGR291C	YGR291C
YGR292W	YGR292W	MAL12
YGR293C	YGR293C	YGR293C
YGR294W	YGR294W	PAU12
YGR295C	YGR295C	COS6
YGR296W	YGR296W	YRF1-3
YGR296C-A	YGR296C-A	YGR296C-A
YGR296C-B	YGR296C-B	YGR296C-B
YHL050C	YHL050C	YHL050C
YHL050W-A	YHL050W-A	YHL050W-A
YHL049C	YHL049C	YHL049C
YHL048C-A	YHL048C-A	YHL048C-A
YHL048W	YHL048W	COS8
YHL047C	YHL047C	ARN2
YHL046W-A	YHL046W-A	YHL046W-A
YHL046C	YHL046C	PAU13
YHL045W	YHL045W	YHL045W
YHL044W	YHL044W	YHL044W
YHL043W	YHL043W	ECM34
YHL042W	YHL042W	YHL042W
YHL041W	YHL041W	YHL041W
YHL040C	YHL040C	ARN1
YHL039W	YHL039W	EFM1
YHL038C	YHL038C	CBP2
YHL037C	YHL037C	YHL037C
YHL036W	YHL036W	MUP3
YHL035C	YHL035C	VMR1
YHL034W-A	YHL034W-A	YHL034W-A
YHL034C	YHL034C	SBP1
YHL033C	YHL033C	RPL8A
YHL032C	YHL032C	GUT1
YHL031C	YHL031C	GOS1
YHL030W-A	YHL030W-A	YHL030W-A
YHL030W	YHL030W	ECM29
YHL029C	YHL029C	OCA5
YHL028W	YHL028W	WSC4
YHL027W	YHL027W	RIM101
YHL026C	YHL026C	YHL026C
YHL025W	YHL025W	SNF6
YHL024W	YHL024W	RIM4
YHL023C	YHL023C	NPR3
tH(GUG)H	tH(GUG)H	tH(GUG)H
YHL022C	YHL022C	SPO11
YHL021C	YHL021C	AIM17
YHL020C	YHL020C	OPI1
YHL019W-A	YHL019W-A	YHL019W-A
YHL019C	YHL019C	APM2
YHL018W	YHL018W	YHL018W
YHL017W	YHL017W	YHL017W
YHL016C	YHL016C	DUR3
YHL015W-A	YHL015W-A	YHL015W-A
YHL015W	YHL015W	RPS20
YHL014C	YHL014C	YLF2
YHL013C	YHL013C	OTU2
YHL012W	YHL012W	YHL012W
YHL011C	YHL011C	PRS3
YHL010C	YHL010C	ETP1
YHL009C	YHL009C	YAP3
tV(AAC)H	tV(AAC)H	tV(AAC)H
YHL009W-B	YHL009W-B	YHL009W-B
YHL009W-A	YHL009W-A	YHL009W-A
YHL008C	YHL008C	YHL008C
YHL007C	YHL007C	STE20
YHL006W-A	YHL006W-A	YHL006W-A
YHL006C	YHL006C	SHU1
YHL005C	YHL005C	YHL005C
YHL004W	YHL004W	MRP4
YHL003C	YHL003C	LAG1
YHL002C-A	YHL002C-A	YHL002C-A
YHL002W	YHL002W	HSE1
YHL001W	YHL001W	RPL14B
YHR001W	YHR001W	OSH7
YHR001W-A	YHR001W-A	QCR10
YHR002W	YHR002W	LEU5
YHR003C	YHR003C	TCD1
YHR004C	YHR004C	NEM1
YHR005C	YHR005C	GPA1
YHR005C-A	YHR005C-A	TIM10
tT(AGU)H	tT(AGU)H	tT(AGU)H
YHR006W	YHR006W	STP2
YHR007C	YHR007C	ERG11
YHR007C-A	YHR007C-A	YHR007C-A
YHR008C	YHR008C	SOD2
YHR009C	YHR009C	TDA3
YHR010W	YHR010W	RPL27A
YHR011W	YHR011W	DIA4
YHR012W	YHR012W	VPS29
YHR013C	YHR013C	ARD1
YHR014W	YHR014W	SPO13
tS(AGA)H	tS(AGA)H	tS(AGA)H
tQ(UUG)H	tQ(UUG)H	tQ(UUG)H
YHR015W	YHR015W	MIP6
YHR016C	YHR016C	YSC84
